_Concept	_Subconcept	_s	_Grades	_Standard	_Identifier	_Practice(s)
Algorithms & Programming	Algorithms	*	00+	Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.	1A-AP-08	Abstraction
Algorithms & Programming	Algorithms	*	03+	Compare and refine multiple algorithms for the same task and determine which is the most appropriate.	1B-AP-08	Testing, Computational Problems
Algorithms & Programming	Algorithms	*	06+	Use flowcharts and/or pseudocode to address complex problems as algorithms.	2-AP-10	Abstraction
Algorithms & Programming	Algorithms	*	09+	Create prototypes that use algorithms to solve computational problems by leveraging prior student knowledge and personal interests.	3A-AP-13	Creating
Algorithms & Programming	Algorithms	*	11+	Describe how artificial intelligence drives many software and physical systems.	3B-AP-08	Communicating
Algorithms & Programming	Algorithms	*	11+	Evaluate algorithms in terms of their efficiency, correctness, and clarity.	3B-AP-11	Abstraction
Algorithms & Programming	Algorithms	*	11+	Implement an artificial intelligence algorithm to play a game against a human opponent or solve a problem.	3B-AP-09	Creating
Algorithms & Programming	Algorithms	*	11+	Use and adapt classic algorithms to solve computational problems.	3B-AP-10	Abstraction
Algorithms & Programming	Control	*	00+	Develop programs with sequences and simple loops, to express ideas or address a problem.	1A-AP-10	Creating
Algorithms & Programming	Control	*	03+	Create programs that include sequences, events, loops, and conditionals.	1B-AP-10	Creating
Algorithms & Programming	Control	*	06+	Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals.	2-AP-12	Creating
Algorithms & Programming	Control	*	09+	Design and iteratively develop computational artifacts for practical intent, personal expression, or to address a societal issue by using events to initiate instructions.	3A-AP-16	Creating
Algorithms & Programming	Control	*	09+	Justify the selection of specific control structures when tradeoffs involve implementation, readability, and program performance, and explain the benefits and drawbacks of choices made.	3A-AP-15	Computational Problems 
Algorithms & Programming	Control	*	11+	Illustrate the flow of execution of a recursive algorithm.	3B-AP-13	Computational Problems
Algorithms & Programming	Modularity	*	00+	Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.	1A-AP-11	Computational Problems
Algorithms & Programming	Modularity	*	03+	Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.	1B-AP-11	Computational Problems
Algorithms & Programming	Modularity	*	03+	Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.	1B-AP-12	Creating
Algorithms & Programming	Modularity	*	06+	Create procedures with parameters to organize code and make it easier to reuse.	2-AP-14	Abstraction
Algorithms & Programming	Modularity	*	06+	Decompose problems and subproblems into parts to facilitate the design, implementation, and review of programs.	2-AP-13	Computational Problems
Algorithms & Programming	Modularity	*	09+	Create artifacts by using procedures within a program, combinations of data and procedures, or independent but interrelated programs.	3A-AP-18	Creating
Algorithms & Programming	Modularity	*	09+	Decompose problems into smaller components through systematic analysis, using constructs such as procedures, modules, and/or objects.	3A-AP-17	Computational Problems
Algorithms & Programming	Modularity	*	09+	Systematically design and develop programs for broad audiences by incorporating feedback from users.	3A-AP-19	Creating
Algorithms & Programming	Modularity	*	11+	Analyze a large-scale computational problem and identify generalizable patterns that can be applied to a solution.	3B-AP-15	Abstraction
Algorithms & Programming	Modularity	*	11+	Construct solutions to problems using student-created components, such as procedures, modules and/or objects.	3B-AP-14	Creating
Algorithms & Programming	Modularity	*	11+	Demonstrate code reuse by creating programming solutions using libraries and APIs.	3B-AP-16	Creating
Algorithms & Programming	Program Development	*	00+	Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.	1A-AP-14	Testing
Algorithms & Programming	Program Development	*	00+	Develop plans that describe a program’s sequence of events, goals, and expected outcomes.	1A-AP-12	Creating, Communicating
Algorithms & Programming	Program Development	*	00+	Give attribution when using the ideas and creations of others while developing programs.	1A-AP-13	Communicating
Algorithms & Programming	Program Development	*	00+	Using correct terminology, describe steps taken and choices made during the iterative process of program development.	1A-AP-15	Communicating
Algorithms & Programming	Program Development	*	03+	Describe choices made during program development using code comments, presentations, and demonstrations.	1B-AP-17	Communicating
Algorithms & Programming	Program Development	*	03+	Observe intellectual property rights and give appropriate attribution when creating or remixing programs.	1B-AP-14	Creating, Communicating
Algorithms & Programming	Program Development	*	03+	Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation, and review stages of program development.	1B-AP-16	Collaborating
Algorithms & Programming	Program Development	*	03+	Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.	1B-AP-15	Testing
Algorithms & Programming	Program Development	*	03+	Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.	1B-AP-13	Inclusion, Creating
Algorithms & Programming	Program Development	*	06+	Distribute tasks and maintain a project timeline when collaboratively developing computational artifacts.	2-AP-18	Collaborating
Algorithms & Programming	Program Development	*	06+	Document programs in order to make them easier to follow, test, and debug.	2-AP-19	Communicating
Algorithms & Programming	Program Development	*	06+	Incorporate existing code, media, and libraries into original programs, and give attribution.	2-AP-16	Abstraction, Creating, Communicating
Algorithms & Programming	Program Development	*	06+	Seek and incorporate feedback from team members and users to refine a solution that meets user needs.	2-AP-15	Collaborating, Inclusion
Algorithms & Programming	Program Development	*	06+	Systematically test and refine programs using a range of test cases.	2-AP-17	Testing
Algorithms & Programming	Program Development	*	09+	Design and develop computational artifacts working in team roles using collaborative tools.	3A-AP-22	Collaborating
Algorithms & Programming	Program Development	*	09+	Document design decisions using text, graphics, presentations, and/or demonstrations in the development of complex programs.	3A-AP-23	Communicating
Algorithms & Programming	Program Development	*	09+	Evaluate and refine computational artifacts to make them more usable and accessible.	3A-AP-21	Testing
Algorithms & Programming	Program Development	*	09+	Evaluate licenses that limit or restrict use of computational artifacts when using resources such as libraries.	3A-AP-20	Communicating
Algorithms & Programming	Program Development	*	11+	Compare multiple programming languages and discuss how their features make them suitable for solving different types of problems.	3B-AP-24	Communicating
Algorithms & Programming	Program Development	*	11+	Develop and use a series of test cases to verify that a program performs according to its design specifications.	3B-AP-21	Testing
Algorithms & Programming	Program Development	*	11+	Develop programs for multiple computing platforms.	3B-AP-19	Creating
Algorithms & Programming	Program Development	*	11+	Evaluate key qualities of a program through a process such as a code review.	3B-AP-23	Testing
Algorithms & Programming	Program Development	*	11+	Explain security issues that might lead to compromised computer programs.	3B-AP-18	Communicating
Algorithms & Programming	Program Development	*	11+	Modify an existing program to add additional functionality and discuss intended and unintended implications (e.g., breaking other functionality).	3B-AP-22	Creating
Algorithms & Programming	Program Development	*	11+	Plan and develop programs for broad audiences using a software life cycle process.	3B-AP-17	Creating
Algorithms & Programming	Program Development	*	11+	Use version control systems, integrated development environments (IDEs), and collaborative tools and practices (code documentation) in a group software project.	3B-AP-20	Collaborating
Algorithms & Programming	Variables	*	00+	Model the way programs store and manipulate data by using numbers or other symbols to represent information.	1A-AP-09	Abstraction
Algorithms & Programming	Variables	*	03+	Create programs that use variables to store and modify data.	1B-AP-09	Creating
Algorithms & Programming	Variables	*	06+	Create clearly named variables that represent different data types and perform operations on their values.	2-AP-11	Creating
Algorithms & Programming	Variables	*	09+	Use lists to simplify solutions, generalizing computational problems instead of repeatedly using simple variables.	3A-AP-14	Abstraction
Algorithms & Programming	Variables	*	11+	Compare and contrast fundamental data structures and their uses.	3B-AP-12	Abstraction 
Computing Systems	Devices	*	00+	Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.	1A-CS-01	Inclusion
Computing Systems	Devices	*	03+	Describe how internal and external parts of computing devices function to form a system.	1B-CS-01	Communicating
Computing Systems	Devices	*	06+	Recommend improvements to the design of computing devices, based on an analysis of how users interact with the devices.	2-CS-01	Computational Problems
Computing Systems	Devices	*	09+	Explain how abstractions hide the underlying implementation details of Computing Systems embedded in everyday objects.	3A-CS-01	Abstraction
Computing Systems	Hardware & Software	*	00+	Use appropriate terminology in identifying and describing the function of common physical components of Computing Systems (hardware).	1A-CS-02	Communicating
Computing Systems	Hardware & Software	*	03+	Model how computer hardware and software work together as a system to accomplish tasks.	1B-CS-02	Abstraction
Computing Systems	Hardware & Software	*	06+	Design projects that combine hardware and software components to collect and exchange data.	2-CS-02	Creating
Computing Systems	Hardware & Software	*	09+	Compare levels of abstraction and interactions between application software, system software, and hardware layers.	3A-CS-02	Abstraction
Computing Systems	Hardware & Software	*	11+	Categorize the roles of operating system software.	3B-CS-01	Communicating
Computing Systems	Troubleshooting	*	00+	Describe basic hardware and software problems using accurate terminology.	1A-CS-03	Testing, Communicating
Computing Systems	Troubleshooting	*	03+	Determine potential solutions to solve simple hardware and software problems using common Troubleshooting strategies.	1B-CS-03	Testing
Computing Systems	Troubleshooting	*	06+	Systematically identify and fix problems with computing devices and their components.	2-CS-03	Testing
Computing Systems	Troubleshooting	*	09+	Develop guidelines that convey systematic Troubleshooting strategies that others can use to identify and fix errors.	3A-CS-03	Testing
Computing Systems	Troubleshooting	*	11+	Illustrate ways Computing Systems implement logic, input, and output through hardware components.	3B-CS-02	Communicating
Data & Analysis	Collection Visualization & Transformation	*	00+	Collect and present the same data in various visual formats.	1A-DA-06	Communicating, Abstraction
Data & Analysis	Collection Visualization & Transformation	*	03+	Organize and present collected data visually to highlight relationships and support a claim.	1B-DA-06	Communicating
Data & Analysis	Collection Visualization & Transformation	*	06+	Collect data using computational tools and transform the data to make it more useful and reliable.	2-DA-08	Testing
Data & Analysis	Collection Visualization & Transformation	*	09+	Create interactive data visualizations using software tools to help others better understand real-world phenomena.	3A-DA-11	Abstraction
Data & Analysis	Collection Visualization & Transformation	*	11+	Select data collection tools and techniques to generate data sets that support a claim or communicate information.	3B-DA-06	Communicating
Data & Analysis	Collection Visualization & Transformation	*	11+	Use data analysis tools and techniques to identify patterns in data representing complex systems.	3B-DA-05	Abstraction
Data & Analysis	Inference & Models	*	00+	Identify and describe patterns in data visualizations, such as charts or graphs, to make predictions.	1A-DA-07	Abstraction
Data & Analysis	Inference & Models	*	03+	Use data to highlight or propose cause-and-effect relationships, predict outcomes, or communicate an idea.	1B-DA-07	Communicating
Data & Analysis	Inference & Models	*	06+	Refine computational models based on the data they have generated.	2-DA-09	Creating, Abstraction
Data & Analysis	Inference & Models	*	09+	Create computational models that represent the relationships among different elements of data collected from a phenomenon or process.	3A-DA-12	Abstraction
Data & Analysis	Inference & Models	*	11+	Evaluate the ability of models and simulations to test and support the refinement of hypotheses.	3B-DA-07	Abstraction
Data & Analysis	Storage	*	00+	Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data.	1A-DA-05	Abstraction
Data & Analysis	Storage	*	06+	Represent data using multiple encoding schemes.	2-DA-07	Abstraction 
